method,operating_point,case,stable,psi_r_rms_wb,psi_r_rel_pct,is_rms_a,is_rel_pct,psi_r_conv_time_ms,is_conv_time_ms
A_four_pole_sylvester,5000rpm_-220Nm,rr_+5pct,True,0.00010941024379758757,0.1010098258471271,0.35246118263083775,0.044201486795619416,2.7999999999999994,3.58
B_hori53_paper,5000rpm_-220Nm,rr_+5pct,True,9.740653336149758e-05,0.08992774926468257,0.0,0.0,1.8,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rr_+10pct,True,1.2062591140272155e-05,0.011136436480281882,3.216179888115931,0.40333500499483066,33.54,nan
C_sled23_t_type,5000rpm_-220Nm,rr_+10pct,True,0.00021169583062258249,0.19544201933513528,0.2955319175858,0.03706209590329479,5.9799999999999995,9.569999999999999
A_four_pole_sylvester,5000rpm_-220Nm,rr_+10pct,True,0.00021876818119332056,0.20197136132985474,0.7049210421902935,0.08840280766737231,2.78,3.4899999999999998
B_hori53_paper,5000rpm_-220Nm,rr_+10pct,True,0.00019480931174260279,0.1798520318529158,0.0,0.0,1.8199999999999998,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,rr_+20pct,True,5.6050027934165845e-05,0.05174655830975798,5.957547746865043,0.7471247361248778,30.119999999999997,nan
C_sled23_t_type,5000rpm_-220Nm,rr_+20pct,True,0.00042071256398533435,0.38841064003546216,0.5955849113269306,0.07469117137151698,5.6899999999999995,9.969999999999999
A_four_pole_sylvester,5000rpm_-220Nm,rr_+20pct,True,0.0004373260173009337,0.4037485276763365,1.4098367521653403,0.17680494663176843,2.77,nan
B_hori53_paper,5000rpm_-220Nm,rr_+20pct,True,0.00038960255712111987,0.3596892309024124,2.3437142008433856e-13,2.9392074193256357e-14,1.8799999999999997,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,lm_-20pct,True,0.005943374876666461,5.487048016700488,216.07451807459816,27.097494499266716,nan,nan
C_sled23_t_type,5000rpm_-220Nm,lm_-20pct,True,0.005065255075525896,4.676349446736438,13.91569203296358,1.745140480593533,nan,nan
A_four_pole_sylvester,5000rpm_-220Nm,lm_-20pct,True,0.006219311824475101,5.741798779293644,2.650878575712526,0.3324416421875102,nan,nan
B_hori53_paper,5000rpm_-220Nm,lm_-20pct,True,0.006452040475650771,5.956658738552866,2.3437142008433856e-13,2.9392074193256357e-14,nan,0.0
D1_kubota_k1p2_t_type,5000rpm_-220Nm,lm_-10pct,True,0.002686913686465523,2.480614923391013,93.62567939031923,11.741418446174187,nan,nan
